ESPNAPI,CBBAPI
2000,1
2005,2
2006,3
2010,4
2011,6
2016,7
44,8
2026,9
12,11
8,12
2,16
2046,17
252,18
2050,19
239,20
91,21
2057,22
2065,23
2066,24
68,25
103,26
104,27
189,28
71,29
225,30
2803,31
2083,32
2084,33
2086,34
13,35
2934,36
2239,37
2463,38
2856,39
2110,43
2117,45
232,46
2127,47
2429,48
236,49
2130,50
2132,51
228,52
325,53
324,54
2142,55
38,56
36,57
171,58
2154,59
156,61
2166,63
2168,64
2169,67
2172,68
2174,69
2181,70
2182,71
2184,73
151,74
2193,75
2837,76
2197,77
2198,78
2199,79
331,80
2210,81
2217,83
161,84
50,85
2226,86
57,87
526,88
2229,89
52,90
2230,91
278,92
231,93
2244,95
45,96
46,97
61,98
290,99
2247,100
2250,102
2755,103
2253,104
2739,105
2261,106
108,107
2272,109
2275,110
107,111
2277,112
248,113
47,114
85,115
304,116
70,117
2287,119
2916,120
84,121
282,122
314,123
2294,124
66,125
2296,126
294,127
55,128
256,129
140,130
2305,131
2306,132
338,133
96,135
99,136
2325,137
322,138
2320,139
2330,140
2335,142
288,143
2031,144
299,145
112358,146
2344,147
2348,149
97,150
2350,151
2352,152
2351,153
2363,155
2379,159
120,160
113,161
2377,162
235,163
2382,164
2385,165
2771,166
193,167
2390,168
127,169
130,170
270,172
344,174
2623,176
142,177
2405,178
149,179
147,180
2413,181
2415,182
116,183
93,184
152,185
2885,186
2426,187
158,188
160,190
2441,1507
167,191
166,192
2443,193
2447,195
2450,196
2453,197
2448,198
2428,199
2449,202
2454,203
111,205
2464,206
2458,207
2459,208
2460,209
94,210
2466,211
77,212
195,215
194,216
201,217
197,218
295,219
145,220
2437,221
2483,223
204,224
279,225
219,227
2492,228
221,229
2501,230
2502,231
2504,232
163,234
2507,235
2509,236
2870,237
2514,238
2515,239
227,240
242,241
257,242
2520,243
2523,244
2545,246
2565,247
2567,248
16,249
2529,250
2603,251
139,252
2608,253
2612,254
2534,255
2535,256
21,257
301,258
2539,259
23,260
2541,261
2547,262
2550,263
2561,264
6,265
2579,266
2569,267
2908,268
233,269
2571,270
58,271
2546,272
79,273
2582,274
253,276
179,277
2900,280
24,281
2617,282
56,283
284,284
2619,285
183,286
2627,288
218,289
2634,290
2633,292
245,293
357,294
251,295
2640,296
326,297
2643,299
2649,300
119,301
2653,302
5,305
302,307
300,308
27,309
28,310
2540,311
2116,312
26,313
41,314
82,315
2433,316
2378,317
2427,319
2430,320
350,321
2439,322
30,323
250,324
2630,325
292,326
2638,327
2636,328
328,329
3101,330
254,331
3084,332
2670,333
2678,334
2674,335
238,336
261,337
222,338
258,339
259,340
2681,341
264,343
265,344
2692,345
2698,346
277,347
2717,348
2710,349
98,350
2711,351
2724,352
2729,353
2737,354
275,355
2747,356
2750,357
2751,358
2752,359
43,360
2754,361
